Endpoint,IP,OS,Group,Agent Version,System status,First Seen,Last Seen,Antivirus Database Version,EPP Best Practice,Open Alerts,Vulnerabilities,Misconfigurations
MACML612,192.168.0.100,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:10","21 Feb 2026, 10:45",8.20.72.186,Yes,0,5,55
MACML61,192.168.7.210,Windows,Manually Installed Agents,4.31.0.19214,OK,"03 Feb 2026, 18:24","20 Feb 2026, 16:32",8.20.72.192,Yes,0,1,51
MACML61,172.20.100.72,Windows,Manually Installed Agents,4.30.1.19100,OK,"01 Dec 2025, 09:21","03 Feb 2026, 17:02",8.20.71.176,Yes,0,2,56
MACML600,172.20.100.71,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:55","20 Feb 2026, 17:44",8.20.72.192,Yes,0,3,56
MACML599,192.168.104.183,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:15","20 Feb 2026, 16:26",8.20.72.192,Yes,0,2,55
MACML598,10.19.155.39,Windows,Manually Installed Agents,4.31.0.19214,OK,"02 Dec 2025, 08:40","21 Feb 2026, 16:05",8.20.72.192,Yes,0,28,56
MACML597,172.20.100.39,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:41","20 Feb 2026, 18:54",8.20.72.186,Yes,0,8,55
MACML596,172.20.100.99,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 06:51","20 Feb 2026, 18:51",8.20.72.192,Yes,0,2,56
MACML595,172.20.100.74,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 05:33","20 Feb 2026, 18:59",8.20.72.192,Yes,0,2,55
MACML593,172.20.131.51,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:51","20 Feb 2026, 17:06",8.20.72.192,Yes,0,24,56
MACML592,192.168.0.116,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:07","17 Feb 2026, 21:01",8.20.72.162,Yes,0,2,10
MACML590,172.20.80.38,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:18","20 Feb 2026, 18:08",8.20.72.192,Yes,0,4,57
MACML589,172.20.100.84,Windows,Manually Installed Agents,4.31.0.19214,OK,"04 Dec 2025, 09:05","20 Feb 2026, 18:08",8.20.72.192,Yes,0,3,56
MACML588,172.20.100.80,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:37","20 Feb 2026, 18:04",8.20.72.192,Yes,0,3,53
MACML587,172.20.100.37,Windows,Manually Installed Agents,4.31.0.19214,OK,"22 Jan 2026, 09:26","20 Feb 2026, 16:27",8.20.72.192,Yes,0,9,56
MACML586,172.20.80.237,Windows,Manually Installed Agents,4.31.0.19214,OK,"04 Dec 2025, 12:20","20 Feb 2026, 16:55",8.20.72.192,Yes,0,11,56
MACML585,192.168.29.225,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 07:07","20 Feb 2026, 04:56",8.20.72.190,Yes,0,2,53
MACML584,172.20.100.81,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:33","20 Feb 2026, 18:44",8.20.72.192,Yes,0,17,56
MACML583,192.168.29.81,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:13","21 Feb 2026, 11:27",8.20.72.192,Yes,0,3,56
MACML58,172.20.100.82,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:59","18 Feb 2026, 17:39",8.20.72.168,Yes,0,2,25
MACML52,10.109.25.211,Windows,Manually Installed Agents,4.31.0.19139,OK,"06 Dec 2025, 17:20","15 Feb 2026, 05:31",8.20.68.186,Yes,0,1,10
MACML365,192.168.104.71,Windows,Manually Installed Agents,4.31.0.19214,OK,"03 Dec 2025, 08:49","20 Feb 2026, 17:28",8.20.72.192,Yes,0,11,56
MACML30,192.168.0.105,Windows,Manually Installed Agents,4.31.0.19214,OK,"09 Dec 2025, 14:52","19 Feb 2026, 15:52",8.20.72.180,Yes,0,2,56
MACML27,172.20.100.92,Windows,Manually Installed Agents,4.30.1.19100,OK,"24 Dec 2025, 14:26","07 Feb 2026, 14:51",8.20.70.54,Yes,0,1,48
MACML250,172.20.50.109,Windows,CEO_CFO,4.31.0.19214,OK,"01 Dec 2025, 08:55","17 Feb 2026, 17:54",8.20.72.152,Yes,0,3,54
MACML25,172.20.100.86,Windows,Manually Installed Agents,4.31.0.19214,OK,"04 Dec 2025, 13:41","21 Feb 2026, 13:45",8.20.72.206,Yes,0,1,55
MACML18,192.168.29.159,Windows,Manually Installed Agents,4.31.0.19214,OK,"24 Dec 2025, 23:42","21 Feb 2026, 14:15",8.20.72.212,Yes,0,7,14
MACML145,192.168.0.100,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 11:22","20 Feb 2026, 20:33",8.20.72.200,Yes,0,1,10
MACML137,192.168.29.219,Windows,USB Alllowed Group,4.31.0.19214,OK,"01 Dec 2025, 14:37","21 Feb 2026, 10:13",8.20.72.204,Yes,0,2,58
MACML132,172.20.100.51,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:11","20 Feb 2026, 17:54",8.20.72.192,Yes,0,2,56
MACML131,172.20.100.45,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:48","20 Feb 2026, 18:06",8.20.72.192,Yes,0,3,57
MACML130,192.168.1.55,Windows,Manually Installed Agents,4.31.0.19214,OK,"02 Dec 2025, 08:49","21 Feb 2026, 14:15",8.20.72.206,Yes,0,3,44
MACML129,192.168.0.206,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:29","21 Feb 2026, 14:04",8.20.72.192,Yes,0,4,48
MACML127,172.20.100.29,Windows,Manually Installed Agents,4.30.1.18852,OK,"08 Dec 2025, 12:36","22 Jan 2026, 13:37",8.20.68.224,Yes,0,6,0
MACML125,10.211.245.146,Windows,Manually Installed Agents,4.31.0.19214,OK,"06 Dec 2025, 10:08","18 Feb 2026, 23:17",8.20.72.174,Yes,0,0,18
MACML124,192.168.196.197,Windows,Manually Installed Agents,4.31.0.19139,OK,"03 Dec 2025, 12:39","15 Feb 2026, 11:20",8.20.71.194,Yes,0,3,31
MACML123,172.20.100.19,Windows,Manually Installed Agents,4.31.0.19139,OK,"02 Dec 2025, 08:12","09 Feb 2026, 14:59",8.20.70.52,Yes,0,1,31
MACML121,172.20.100.110,Windows,Manually Installed Agents,4.31.0.19214,OK,"05 Dec 2025, 18:56","19 Feb 2026, 16:46",8.20.72.186,Yes,0,2,55
MACML120,172.20.100.90,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:27","20 Feb 2026, 18:07",8.20.72.192,Yes,0,2,60
MACML118,172.20.100.44,Windows,Manually Installed Agents,4.31.0.19214,OK,"18 Feb 2026, 13:19","18 Feb 2026, 20:15",8.20.72.174,Yes,0,0,41
MACML114,172.20.50.108,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:13","20 Feb 2026, 19:23",8.20.72.174,Yes,0,4,56
MACML113,172.20.100.36,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:08","20 Feb 2026, 17:56",8.20.72.192,Yes,0,3,50
MACML112,172.20.100.123,Windows,Manually Installed Agents,4.31.0.19139,OK,"11 Dec 2025, 15:40","09 Feb 2026, 16:56",8.20.69.94,Yes,0,3,46
MACML108,172.20.100.40,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:04","20 Feb 2026, 17:07",8.20.72.192,Yes,0,3,56
MACML105,10.26.49.127,Windows,Manually Installed Agents,4.31.0.19214,OK,"11 Dec 2025, 09:51","16 Feb 2026, 16:46",8.20.70.44,Yes,0,2,10
MACML104,100.63.27.13,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 13:16","19 Feb 2026, 14:42",8.20.72.174,Yes,0,6,35
MACMKAMBALA,192.168.101.236,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 05:32","21 Feb 2026, 16:04",8.20.72.186,Yes,0,1,55
MACMINI02,192.168.101.152,Mac,Manually Installed Agents - MAC,4.31.0.15047,OK,"01 Dec 2025, 05:35","21 Feb 2026, 16:06",8.20.72.196,Yes,0,0,0
MACMINI01,192.168.101.151,Mac,Manually Installed Agents - MAC,4.31.0.15047,OK,"01 Dec 2025, 05:31","21 Feb 2026, 16:08",8.20.72.186,Yes,0,0,0
MACMINFOSECMGMT,192.168.101.230,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 05:30","21 Feb 2026, 16:06",8.20.72.192,Yes,0,1,40
MACMINFOSECDB,192.168.101.228,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 05:30","21 Feb 2026, 16:06",8.20.72.186,Yes,0,1,40
MACMINFOSECAPP,192.168.101.229,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 05:32","21 Feb 2026, 16:08",8.20.72.192,Yes,0,1,40
